cp_bads_cine_intro,0.02,10.27,^8Laswell :^7 Breaker-1, nous avons intercepté des communications entre Al-Qatala et un individu non identifié en Russie qui nous confirment la livraison de trois paquets à leur avant-poste d'Al Mazrah.,,
cp_bads_cine_intro,10.58,15.94,^8Laswell :^7 Nous pensons que ceux-ci contiennent des composants radioactifs destinés à un programme d'armement clandestin.,,
cp_bads_cine_intro,15.92,19.74,^8Laswell :^7 D'après les images, les paquets sont entreposés dans trois bâtiments différents.,,
cp_bads_cine_intro,19.79,24.83,^8Laswell :^7 Vous serez équipés de compteurs Geiger pour détecter des signes de radiation et trouver les composants.,,
cp_bads_cine_intro,24.83,27.21,^8Laswell :^7 Votre objectif est de les récupérer.,,
cp_bads_cine_intro,27.22,30.83,^8Laswell :^7 Mais attention, la zone est protégée par des systèmes antiaériens.,,
cp_bads_cine_intro,30.97,33.79,^8Laswell :^7 Vous n'aurez aucun soutien aérien sur place.,,
cp_bads_cine_intro,33.79,37.57,^8Laswell :^7 Pour cette opération de saisie, la discrétion est indispensable.,,
cp_bads_cine_intro,37.57,42.35,^8Laswell :^7 C'est pourquoi vous serez parachutés à haute altitude et devrez rejoindre les cibles à pied.,,
cp_bads_cine_intro,42.35,46.99,^8Laswell :^7 Une fois les trois paquets sécurisés, dirigez-vous vers le point Sparrow pour extraction.,,
cp_bads_cine_intro,46.99,52.75,^8Laswell :^7 Si jamais Sparrow est inaccessible, le point secondaire Falcon se trouve ici.,,
cp_bads_cine_intro,52.76,55.84,^8Laswell :^7 Falcon n'est à utiliser qu'en dernier recours, ce n'est pas une garantie.,,
cp_bads_cine_intro,55.84,58.51,^8Laswell :^7 Vous allez entrer dans la gueule du loup.,,
cp_bads_cine_intro,58.51,61.55,^8Laswell :^7 Vous ne pourrez compter que sur vous-mêmes, et l'obscurité.,,
cp_bads_cine_intro,61.56,62.8,^8Laswell :^7 On reste en contact.,,
cp_bads_cine_intro,62.8,64,^8Laswell :^7 Soyez prudents.,,
cp_heliesc_cine_intro,0.05,8.39,^8Laswell :^7 Breaker-1, d'après les renseignements, le réseau de communication d'Al-Qatala passe par une série de serveurs cryptés situés ici, à Al Mazrah.,,
cp_heliesc_cine_intro,8.39,13.49,^8Laswell :^7 Les serveurs sont répartis dans ces trois bâtiments : les cibles Alpha, Bravo et Charlie.,,
cp_heliesc_cine_intro,13.5,17.03,^8Laswell :^7 Vous allez devoir détruire ces serveurs et extraire leurs disques durs.,,
cp_heliesc_cine_intro,17.04,21.94,^8Laswell :^7 1-1 réalisera le raid et l'infiltration au sol avec une équipe d'élite de Marines, les Demon Dog,,,
cp_heliesc_cine_intro,21.95,25.96,^8Laswell :^7 pendant que 2 fournira un soutien aérien et des instructions depuis un hélicoptère d'attaque.,,
cp_heliesc_cine_intro,25.96,29.36,^8Laswell :^7 Quand vous aurez tous les disques durs, j'enverrai un hélico pour vous exfiltrer.,,
cp_heliesc_cine_intro,29.36,33,^8Laswell :^7 L'équipe de surveillance confirme qu'il n'y a pas de civils dans la zone...,,
cp_heliesc_cine_intro,33.01,34.92,^8Laswell :^7 Vous pouvez tirer à vue.,,
cp_heliesc_cine_intro,34.92,39.05,^8Laswell :^7 Vous serez au cœur du territoire ennemi, la résistance sera féroce.,,
cp_heliesc_cine_intro,39.05,44.68,^8Laswell :^7 On neutralise leur capacité électronique. Al-Qatala risque de ne pas apprécier.,,
cp_heliesc_cine_intro,44.68,48.16,^8Laswell :^7 Je reste avec vous par radio, mais n'oubliez pas que vous serez seuls sur place.,,
cp_heliesc_cine_intro,49.12,50,^8Laswell :^7 Au boulot.,,
cp_igc_cine_intro,14.12,18.22,^8Laswell :^7 Ici Watcher-1, ce message est strictement limité aux personnes concernées.,,
